Lines,Station_Name,Station_Name_CH,Station_Name_TM,Opening,Name,Abbr,Location,Bus_Interchange,lat,lon,datetime,Opening_YM
 CC14 ,Lorong Chuan,罗弄泉,லோரோங் சுவான்,28 May 2009,Lorong Chuan,LRC,Serangoon,,1.3514978000000002,103.8649467,2009-05-01T00:00:00Z,2009-05
 CC16 ,Marymount,玛丽蒙,மேரிமவுண்ட்,28 May 2009,Marymount,MRM,Bishan,,1.3490142,103.8390947,2009-05-01T00:00:00Z,2009-05
 CC17  TE9 ,Caldecott,加利谷,கால்டிகாட்,8 October 2011,Thomson,CDT,Toa Payoh,,1.3375953,103.8396058,2011-10-01T00:00:00Z,2011-10
 CC19  DT9 ,Botanic Gardens,植物园,பூ மலை,8 October 2011,Adam,BTN,Tanglin,,1.3138397,103.81591359999999,2011-10-01T00:00:00Z,2011-10
 CC20 ,Farrer Road,花拉路,ஃபேரர் சாலை,8 October 2011,Farrer,FRR,"Bukit Timah, Tanglin",,1.3175741,103.807711,2011-10-01T00:00:00Z,2011-10
 CC21 ,Holland Village,荷兰村,ஹாலந்து வில்லேஜ்,8 October 2011,Holland,HLV,Bukit Timah,,1.3111457,103.79614079999999,2011-10-01T00:00:00Z,2011-10
 CC23 ,one-north,纬壹,ஒன்-நார்த்,8 October 2011,one-north,ONH,Queenstown,,1.2998113000000002,103.7875947,2011-10-01T00:00:00Z,2011-10
 CC24 ,Kent Ridge,肯特岗,கெண்ட் ரிஜ்,8 October 2011,NUH,KRG,Queenstown,,1.2935861000000002,103.78445129999999,2011-10-01T00:00:00Z,2011-10
 CC25 ,Haw Par Villa,虎豹别墅,ஹா பர் வில்லா,8 October 2011,West Coast,HPV,Queenstown,,1.2831059999999999,103.78197990000001,2011-10-01T00:00:00Z,2011-10
 CC26 ,Pasir Panjang,巴西班让,பாசிர் பாஞ்சாங்,8 October 2011,Pasir Panjang,PPJ,Queenstown,,1.2760684,103.7919037,2011-10-01T00:00:00Z,2011-10
 CC27 ,Labrador Park,拉柏多公园,லாப்ரடார் பூங்கா,8 October 2011,Alexandra,LBD,Bukit Merah,,1.2721258999999998,103.80255749999999,2011-10-01T00:00:00Z,2011-10
 CC28 ,Telok Blangah,直落布兰雅,தெலுக் பிளாங்கா,8 October 2011,Telok Blangah,TLB,Bukit Merah,,1.2707152,103.809878,2011-10-01T00:00:00Z,2011-10
 CE1  DT16 ,Bayfront,海湾舫,பேஃபிரண்ட்,14 January 2012,Bayfront,BFT,Downtown Core,,1.2813386,103.8589551,2012-01-01T00:00:00Z,2012-01
 DT1  BP6 ,Bukit Panjang,武吉班让,புக்கிட் பாஞ்சாங்,27 December 2015,Petir,BPJ,"Bukit Batok, Bukit Panjang, Choa Chu Kang",Bus transport Bukit Panjang Bus Interchange,1.2760684,103.7919037,2015-12-01T00:00:00Z,2015-12
 DT2 ,Cashew,凯秀,கேஷ்யூ,27 December 2015,Cashew,CSW,"Bukit Batok, Bukit Panjang",,1.3699756,103.76457940000002,2015-12-01T00:00:00Z,2015-12
 DT3 ,Hillview,山景,ஹில்வியூ,27 December 2015,Hillview,HVW,"Bukit Batok, Bukit Panjang",,1.3630377,103.7674128,2015-12-01T00:00:00Z,2015-12
 DT5 ,Beauty World,美世界,பியூட்டி வோர்ல்ட்,27 December 2015,Beauty World,BTW,Bukit Timah,,1.3415532,103.77574659999999,2015-12-01T00:00:00Z,2015-12
 DT6 ,King Albert Park,阿尔柏王园,கிங் ஆல்பர்ட் பார்க்,27 December 2015,Blackmore,KAP,Bukit Timah,,1.3356883999999998,103.78319259999999,2015-12-01T00:00:00Z,2015-12
