Lines,Station_Name,Opening,End date,Name,Abbr,Location,Bus_Interchange,lat,lon,datetime
 NE14  CR8 ,Hougang,6/20/2003,4/20/2019,Hougang,HGN,Hougang,Bus transport Hougang Central Bus Interchange,1.3713312,103.8925439,2003-06-20T00:00:00Z
 NE15 ,Buangkok,1/15/2006,4/20/2019,Buangkok,BGK,Sengkang,,1.3829481,103.8933582,2006-01-15T00:00:00Z
 NE16  STC ,Sengkang,6/20/2003,4/20/2019,Sengkang,SKG,Sengkang,"Bus transport Compassvale Bus Interchange,  Bus transport Sengkang Bus Interchange",1.3916609,103.8954533,2003-06-20T00:00:00Z
 NE17  PTC ,Punggol,6/20/2003,4/20/2019,Punggol,PGL,Punggol,Bus transport Punggol Temporary Bus Interchange,1.40517,103.9023559,2003-06-20T00:00:00Z
 CC2 ,Bras Basah,4/17/2010,4/20/2019,Museum,BBS,Museum Planning Area,,1.2969461,103.8507366,2010-04-17T00:00:00Z
 CC3 ,Esplanade,4/17/2010,4/20/2019,Convention Centre,EPN,Downtown Core,,1.2939413,103.8553744,2010-04-17T00:00:00Z
 CC4  DT15 ,Promenade,4/17/2010,4/20/2019,Millenia,PMN,Downtown Core,Bus transport Marina Centre Bus Terminal,1.2939988,103.8601773,2010-04-17T00:00:00Z
 CC5 ,Nicoll Highway,4/17/2010,4/20/2019,Nicoll Highway,NCH,Kallang,,1.3002063,103.8634707,2010-04-17T00:00:00Z
 CC6 ,Stadium,4/17/2010,4/20/2019,Boulevard,SDM,Kallang,,1.3027829,103.8754063,2010-04-17T00:00:00Z
 CC7 ,Mountbatten,4/17/2010,4/20/2019,Old Airport Road,MBT,"Geylang, Kallang",,1.3060844,103.8831531,2010-04-17T00:00:00Z
 CC8 ,Dakota,4/17/2010,4/20/2019,Tanjong Katong,DKT,Geylang,,1.30841,103.888814,2010-04-17T00:00:00Z
 CC10  DT26 ,MacPherson,4/17/2010,4/20/2019,MacPherson,MPS,Geylang,,1.3267049,103.8898898,2010-04-17T00:00:00Z
 CC11 ,Tai Seng,4/17/2010,4/20/2019,Upper Paya Lebar,TSG,"Hougang, Toa Payoh",,1.3358756,103.8877164,2010-04-17T00:00:00Z
 CC12 ,Bartley,5/28/2009,4/20/2019,Bartley,BLY,"Serangoon, Toa Payoh",,1.3428695,103.8796386,2009-05-28T00:00:00Z
 CC14 ,Lorong Chuan,5/28/2009,4/20/2019,Lorong Chuan,LRC,Serangoon,,1.3514978,103.8649467,2009-05-28T00:00:00Z
 CC16 ,Marymount,5/28/2009,4/20/2019,Marymount,MRM,Bishan,,1.3490142,103.8390947,2009-05-28T00:00:00Z
 CC17  TE9 ,Caldecott,10/8/2011,4/20/2019,Thomson,CDT,Toa Payoh,,1.3375953,103.8396058,2011-10-08T00:00:00Z
 CC19  DT9 ,Botanic Gardens,10/8/2011,4/20/2019,Adam,BTN,Tanglin,,1.3138397,103.8159136,2011-10-08T00:00:00Z
 CC20 ,Farrer Road,10/8/2011,4/20/2019,Farrer,FRR,"Bukit Timah, Tanglin",,1.3175741,103.807711,2011-10-08T00:00:00Z
 CC21 ,Holland Village,10/8/2011,4/20/2019,Holland,HLV,Bukit Timah,,1.3111457,103.7961408,2011-10-08T00:00:00Z
 CC23 ,one-north,10/8/2011,4/20/2019,one-north,ONH,Queenstown,,1.2998113,103.7875947,2011-10-08T00:00:00Z
 CC24 ,Kent Ridge,10/8/2011,4/20/2019,NUH,KRG,Queenstown,,1.2935861,103.7844513,2011-10-08T00:00:00Z
 CC25 ,Haw Par Villa,10/8/2011,4/20/2019,West Coast,HPV,Queenstown,,1.283106,103.7819799,2011-10-08T00:00:00Z
 CC26 ,Pasir Panjang,10/8/2011,4/20/2019,Pasir Panjang,PPJ,Queenstown,,1.2760684,103.7919037,2011-10-08T00:00:00Z
 CC27 ,Labrador Park,10/8/2011,4/20/2019,Alexandra,LBD,Bukit Merah,,1.2721259,103.8025575,2011-10-08T00:00:00Z
 CC28 ,Telok Blangah,10/8/2011,4/20/2019,Telok Blangah,TLB,Bukit Merah,,1.2707152,103.809878,2011-10-08T00:00:00Z
 CE1  DT16 ,Bayfront,1/14/2012,4/20/2019,Bayfront,BFT,Downtown Core,,1.2813386,103.8589551,2012-01-14T00:00:00Z
 DT1  BP6 ,Bukit Panjang,12/27/2015,4/20/2019,Petir,BPJ,"Bukit Batok, Bukit Panjang, Choa Chu Kang",Bus transport Bukit Panjang Bus Interchange,1.2760684,103.7919037,2015-12-27T00:00:00Z
 DT2 ,Cashew,12/27/2015,4/20/2019,Cashew,CSW,"Bukit Batok, Bukit Panjang",,1.3699756,103.7645794,2015-12-27T00:00:00Z
 DT3 ,Hillview,12/27/2015,4/20/2019,Hillview,HVW,"Bukit Batok, Bukit Panjang",,1.3630377,103.7674128,2015-12-27T00:00:00Z
 DT5 ,Beauty World,12/27/2015,4/20/2019,Beauty World,BTW,Bukit Timah,,1.3415532,103.7757466,2015-12-27T00:00:00Z
 DT6 ,King Albert Park,12/27/2015,4/20/2019,Blackmore,KAP,Bukit Timah,,1.3356884,103.7831926,2015-12-27T00:00:00Z
 DT7 ,Sixth Avenue,12/27/2015,4/20/2019,Sixth Avenue,SAV,Bukit Timah,,1.3311776,103.7972016,2015-12-27T00:00:00Z
 DT8 ,Tan Kah Kee,12/27/2015,4/20/2019,Duchess,TKK,Bukit Timah,,1.3257996,103.8079556,2015-12-27T00:00:00Z
 DT10  TE11 ,Stevens,12/27/2015,4/20/2019,Stevens,STV,Tanglin,,1.3199584,103.8259427,2015-12-27T00:00:00Z
 DT13 ,Rochor,12/27/2015,4/20/2019,Rochor,RCR,Rochor,,1.3035362,103.8525596,2015-12-27T00:00:00Z
 DT17 ,Downtown,12/22/2013,4/20/2019,Landmark,DTN,Downtown Core,,1.2794576,103.8528128,2013-12-22T00:00:00Z
 DT18 ,Telok Ayer,12/22/2013,4/20/2019,Cross Street,TLA,"Downtown Core, Outram",,1.282221,103.8485947,2013-12-22T00:00:00Z
 DT20 ,Fort Canning,10/21/2017,4/20/2019,River Valley,FCN,"Museum Planning Area, Singapore River Planning Area",,1.2921101,103.844762,2017-10-21T00:00:00Z
 DT21 ,Bencoolen,10/21/2017,4/20/2019,Bencoolen,BCL,"Museum Planning Area, Rochor",,1.2990136,103.8505193,2017-10-21T00:00:00Z
 DT22 ,Jalan Besar,10/21/2017,4/20/2019,Sungei Road,JLB,Rochor,,1.3055083,103.8554325,2017-10-21T00:00:00Z
 DT23 ,Bendemeer,10/21/2017,4/20/2019,Jalan Besar,BDM,Kallang,,1.3200375,103.861623,2017-10-21T00:00:00Z
 DT24 ,Geylang Bahru,10/21/2017,4/20/2019,Kallang Bahru,GLB,Kallang,,1.3213087,103.8713815,2017-10-21T00:00:00Z
 DT25 ,Mattar,10/21/2017,4/20/2019,Mattar,MTR,Geylang,,1.3272214,103.8828949,2017-10-21T00:00:00Z
 DT27 ,Ubi,10/21/2017,4/20/2019,Ubi,UBI,Geylang,,1.3298687,103.900048,2017-10-21T00:00:00Z
 DT28 ,Kaki Bukit,10/21/2017,4/20/2019,Kaki Bukit,KKB,Bedok,,1.334927,103.909016,2017-10-21T00:00:00Z
 DT29 ,Bedok North,10/21/2017,4/20/2019,Bedok Town Park,BDN,Bedok,,1.3351391,103.918397,2017-10-21T00:00:00Z
 DT30 ,Bedok Reservoir,10/21/2017,4/20/2019,Bedok Reservoir,BDR,Bedok,,1.3366807,103.9326699,2017-10-21T00:00:00Z
 DT31 ,Tampines West,10/21/2017,4/20/2019,Tampines West,TPW,Tampines,,1.3495907,103.9567879,2017-10-21T00:00:00Z
 DT33 ,Tampines East,10/21/2017,4/20/2019,Tampines East,TPE,Tampines,,1.3495907,103.9567879,2017-10-21T00:00:00Z
 DT34 ,Upper Changi,10/21/2017,4/20/2019,Upper Changi,UPC,Tampines,,1.3421647,103.961505,2017-10-21T00:00:00Z
